date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
20040922,5,25,20,27,26,46
20040918,46,11,40,10,42,6
20040918,26,1,25,9,3,41
20040915,46,48,1,41,49,30
20040915,28,6,38,31,17,30
20040911,26,13,27,18,10,31
20040911,36,37,34,47,5,49
20040908,15,22,41,10,11,1
20040908,39,15,47,38,37,19
20040904,37,3,24,38,19,28
20040904,22,48,14,7,9,42
20040901,20,32,28,4,3,38
20040901,34,36,47,14,9,40
20040828,2,3,1,39,41,22
20040828,20,23,4,14,25,21
20040825,30,15,25,46,35,20
20040825,37,25,16,3,14,10
20040821,39,23,24,29,45,17
20040821,13,31,14,39,16,15
20040818,30,22,6,34,40,23
20040818,31,41,46,35,25,45
20040814,30,31,36,2,9,22
